name,primary,secondary,accent,background,text,mood,best_for,on_primary,on_secondary,on_accent,card,card_foreground,muted,muted_foreground,border,destructive,on_destructive,ring
SaaS (General),#2563EB,#3B82F6,#EA580C,#F8FAFC,#1E293B,Trust blue + orange CTA contrast [Accent adjusted from #F97316 for WCAG 3:1],SaaS (General),#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#1E293B,#E9EFF8,#64748B,#E2E8F0,#DC2626,#FFFFFF,#2563EB
Micro SaaS,#6366F1,#818CF8,#059669,#F5F3FF,#1E1B4B,Indigo primary + emerald CTA [Accent adjusted from #10B981 for WCAG 3:1],Micro SaaS,#FFFFFF,#0F172A,#FFFFFF,#FFFFFF,#1E1B4B,#EBEFF9,#64748B,#E0E7FF,#DC2626,#FFFFFF,#6366F1
E-commerce,#059669,#10B981,#EA580C,#ECFDF5,#064E3B,Success green + urgency orange [Accent adjusted from #F97316 for WCAG 3:1],E-commerce,#FFFFFF,#0F172A,#FFFFFF,#FFFFFF,#064E3B,#E8F1F3,#64748B,#A7F3D0,#DC2626,#FFFFFF,#059669
E-commerce Luxury,#1C1917,#44403C,#A16207,#FAFAF9,#0C0A09,Premium dark + gold accent [Accent adjusted from #CA8A04 for WCAG 3:1],E-commerce Luxury,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#0C0A09,#E8ECF0,#64748B,#D6D3D1,#DC2626,#FFFFFF,#1C1917
B2B Service,#0F172A,#334155,#0369A1,#F8FAFC,#020617,Professional navy + blue CTA,B2B Service,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#020617,#E8ECF1,#64748B,#E2E8F0,#DC2626,#FFFFFF,#0F172A
Financial Dashboard,#0F172A,#1E293B,#22C55E,#020617,#F8FAFC,Dark bg + green positive indicators,Financial Dashboard,#FFFFFF,#FFFFFF,#0F172A,#0E1223,#F8FAFC,#1A1E2F,#94A3B8,#334155,#EF4444,#FFFFFF,#0F172A
Analytics Dashboard,#1E40AF,#3B82F6,#D97706,#F8FAFC,#1E3A8A,Blue data + amber highlights [Accent adjusted from #F59E0B for WCAG 3:1],Analytics Dashboard,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#1E3A8A,#E9EEF6,#64748B,#DBEAFE,#DC2626,#FFFFFF,#1E40AF
Healthcare App,#0891B2,#22D3EE,#059669,#ECFEFF,#164E63,Calm cyan + health green,Healthcare App,#FFFFFF,#0F172A,#FFFFFF,#FFFFFF,#164E63,#E8F1F6,#64748B,#A5F3FC,#DC2626,#FFFFFF,#0891B2
Educational App,#4F46E5,#818CF8,#EA580C,#EEF2FF,#1E1B4B,Playful indigo + energetic orange [Accent adjusted from #F97316 for WCAG 3:1],Educational App,#FFFFFF,#0F172A,#FFFFFF,#FFFFFF,#1E1B4B,#EBEEF8,#64748B,#C7D2FE,#DC2626,#FFFFFF,#4F46E5
Creative Agency,#EC4899,#F472B6,#0891B2,#FDF2F8,#831843,Bold pink + cyan accent [Accent adjusted from #06B6D4 for WCAG 3:1],Creative Agency,#FFFFFF,#0F172A,#FFFFFF,#FFFFFF,#831843,#F1EEF5,#64748B,#FBCFE8,#DC2626,#FFFFFF,#EC4899
