name,description,best_for,framer_code,vanilla_code
Spring Physics Toggle,"State-driven animate with physics spring instead of fixed easings","Buttons, toggles, accordions, interactive states","<motion.div animate={{ x: on ? 100 : 0, rotate: on ? 360 : 0 }} transition={{ type: 'spring', stiffness: 133, damping: 12 }} onClick={toggle} />","el.classList.toggle('on'); /* CSS: .on { transform: translateX(100px) rotate(360deg); transition: transform .5s cubic-bezier(.34,1.56,.64,1) } */"
Drag with Constraints,"Drag within bounds plus hover/tap scale feedback","Cards, modals, sortable lists, playful UI","<motion.div drag dragConstraints={{ left: -10, right: 20, top: 5, bottom: 5 }} whileHover={{ scale: 1.1 }} whileTap={{ scale: 0.9 }} />","pointerdown/pointermove: x = clamp(dx, -10, 20); y = clamp(dy, 5, 5); el.style.transform = `translate(${x}px,${y}px)`; CSS :hover/:active scale"
Variant States,"Named variant objects switched via initial/animate props","Multi-state components, tabs, theme toggles","const v = { idle: { x: 0, scale: 1 }, active: { x: 100, scale: 1.5 } }; <motion.div variants={v} initial='idle' animate='active' />","el.dataset.state = 'active'; /* CSS: [data-state=active] { transform: translateX(100px) scale(1.5); transition: transform .4s } */"
Keyframe Sequence,"Array values chain transforms into multi-step choreography","Logo moments, loading states, attention draws","<motion.div animate={{ scale: [1, 1.4, 1.4, 1, 1], borderRadius: ['20%', '50%', '50%', '20%'], rotate: [0, 0, 270, 270, 0] }} transition={{ duration: 2 }} />","el.animate([{ scale: 1, borderRadius: '20%' }, { scale: 1.4, borderRadius: '50%', rotate: 270 }, { scale: 1, borderRadius: '20%', rotate: 360 }], { duration: 2000 })"
Parent-Child Stagger,"Container orchestrates children via when + staggerChildren with per-index custom delay","Lists, grids, nav menus, feature rows","const c = { hidden: { x: '-100vw' }, visible: { transition: { when: 'beforeChildren', staggerChildren: 0.2 } } }; <motion.div variants={c} initial='hidden' animate='visible'>{items.map((it, i) => <motion.li variants={child} custom={i} />)}</motion.div>","IntersectionObserver toggles .in class; items.forEach((it, i) => it.style.transitionDelay = `${i * 80}ms`); CSS: .item { opacity: 0; transform: translateY(20px); transition: .5s } .in .item { opacity: 1; transform: none }"
Programmatic Controls,"useAnimation() + control.start() for imperative event-driven sequences","Wizards, multi-step flows, triggered sequences","const c = useAnimation(); <button onClick={() => c.start({ x: 1500, transition: { duration: 2 } })} /> <motion.div animate={c} />","const anim = el.animate([{ x: 0 }, { x: 1500 }], { duration: 2000, easing: 'ease-out' }); anim.pause(); btn.onclick = () => anim.play()"
Scroll Reveal,"whileInView fires once when element enters viewport","Content sections, cards, testimonials","<motion.div initial={{ opacity: 0, y: 20 }} whileInView={{ opacity: 1, y: 0 }} viewport={{ once: true, margin: '-100px' }} />","const io = new IntersectionObserver(es => es.forEach(e => { if (e.isIntersecting) { e.target.classList.add('in'); io.unobserve(e.target) } }), { rootMargin: '-100px' }); io.observe(el); /* CSS: .el { opacity: 0; translateY } .el.in { ... } */"
Layout Animation,"layout prop springs position/size changes automatically","Reordering lists, expanding cards, filter grids","<motion.div layout transition={{ type: 'spring', stiffness: 200, damping: 20 }} />","// FLIP: const f = el.getBoundingClientRect(); /* mutate DOM */ const l = el.getBoundingClientRect(); el.animate([{ transform: `translate(${f.x - l.x}px,${f.y - l.y}px)` }, { transform: 'none' }], { duration: 300, easing: 'cubic-bezier(.2,.8,.2,1)' })"
Shared Element,"layoutId morphs element between containers for seamless handoff","Modal/image popovers, tab indicators, nav pills","{open && <motion.div layoutId='card' />} <motion.div layoutId='card' />","document.startViewTransition(() => swapContent()); /* View Transitions API — native browser morph */"
SVG Path Draw,"pathLength 0 to 1 draws SVG strokes on mount or scroll","Icons, logos, decorative lines, illustrations","<motion.path d='...' initial={{ pathLength: 0 }} whileInView={{ pathLength: 1 }} transition={{ duration: 2 }} />","const len = path.getTotalLength(); path.style.strokeDasharray = len; path.animate([{ strokeDashoffset: len }, { strokeDashoffset: 0 }], { duration: 2000, fill: 'forwards' })"
Magnetic Hover,"Element leans toward cursor via motion value + spring","Cursor-follow CTAs, buttons, playful nav","const x = useSpring(useMotionValue(0)); <motion.div style={{ x }} onMouseMove={e => x.set(offset * 0.3)} />","el.addEventListener('mousemove', e => { const r = el.getBoundingClientRect(); el.style.transform = `translate(${(e.clientX - (r.left + r.width / 2)) * 0.3}px,${(e.clientY - (r.top + r.height / 2)) * 0.3}px)` }); el.addEventListener('mouseleave', () => el.style.transform = '')"
Count Up,"useSpring + animate() drives number counters on view","Stats, metrics, pricing, achievements","const n = useSpring(0); useEffect(() => { const c = animate(0, 100, { duration: 2, onUpdate: v => n.set(v) }); return () => c.stop(); }, []);","const t0 = performance.now(); (function tick(t) { el.textContent = Math.round(100 * (1 - Math.pow(2, -10 * (t - t0) / 2000))); (t - t0) < 2000 && requestAnimationFrame(tick) })(t0)"
AnimatePresence Exit,"Exit variants + key switching animate mount/unmount","Page transitions, toasts, modals, list removal","<AnimatePresence>{open && <motion.div initial={{ opacity: 0, y: -20 }} animate={{ opacity: 1, y: 0 }} exit={{ opacity: 0, y: -20 }} />}</AnimatePresence>","el.classList.add('exit'); el.addEventListener('animationend', () => el.remove(), { once: true }); /* CSS: .exit { opacity: 0; transform: translateY(-20px); transition: .3s } */"
Hover Micro-Press,"Subtle scale + shadow lift on hover, press on tap","Buttons, cards, links, CTAs","<motion.button whileHover={{ scale: 1.02 }} whileTap={{ scale: 0.97 }} transition={{ duration: 0.15 }} />","/* pure CSS, zero JS */ .btn:hover { transform: scale(1.02) } .btn:active { transform: scale(0.97) } .btn { transition: transform 0.15s }"
