name,category,guideline,description,do,dont,code_good,code_bad,severity,docs_url
Use WinUI XAML API surface,XAML,Use WinUI XAML API surface,Uno implements the WinUI API across platforms,Microsoft.UI.Xaml namespace for all UI code,WPF or Xamarin.Forms namespaces,using Microsoft.UI.Xaml.Controls;,using System.Windows.Controls; or using Xamarin.Forms;,High,https://platform.uno/docs/articles/implemented-views.html
Check API implementation status,XAML,Check API implementation status,Not all WinUI APIs are implemented on every platform,Uno API compatibility docs before using new APIs,Assuming all WinUI APIs work everywhere,Check platform.uno/docs for API status,Using unimplemented API and discovering at runtime,High,https://platform.uno/docs/articles/implemented-views.html
Use Uno.WinUI not Uno.UI for new projects,XAML,Use Uno.WinUI not Uno.UI for new projects,Uno.WinUI uses WinUI 3 APIs,Uno.WinUI NuGet packages for new projects,Uno.UI (UWP API surface) for new projects,"<Project Sdk=""Uno.Sdk""> (Uno.WinUI / WinUI 3 surface implicit)","<PackageReference Include=""Uno.UI""/> (legacy UWP API surface)",Medium,https://platform.uno/docs/articles/updating-to-winui3.html
Use XAML Hot Reload,XAML,Use XAML Hot Reload,Speed up development with live XAML editing,Hot Reload for iterating on layouts,Restarting app for every XAML change,Click Hot Reload button in VS toolbar or save in VS Code/Rider to apply XAML changes,Full rebuild for margin tweak,Medium,https://platform.uno/docs/articles/features/working-with-xaml-hot-reload.html
Use platform-specific XAML,Conditional,Use platform-specific XAML,Conditional namespaces for platform-specific UI,xmlns:android xmlns:ios xmlns:wasm for platform XAML,Shared XAML when platforms need different controls,"<TextBlock android:Text=""Android"" ios:Text=""iOS"" Text=""Default""/>",#if in code-behind to set text per platform,Medium,https://platform.uno/docs/articles/platform-specific-xaml.html
Use partial classes for platform code,Conditional,Use partial classes for platform code,Separate platform implementations in partial files,Partial class files with platform-specific logic,#if directives in shared code for large blocks,MainPage.iOS.cs MainPage.Android.cs partial class files,#if __IOS__ ... #elif __ANDROID__ ... 100-line blocks in shared file,Medium,https://platform.uno/docs/articles/platform-specific-csharp.html
Use preprocessor symbols correctly,Conditional,Use preprocessor symbols correctly,Target correct platforms with defines,__IOS__ __ANDROID__ __WASM__ __DESKTOP__ for platform checks,Inventing custom symbols or checking OS at runtime,#if __ANDROID__ Android-specific code #endif,if (RuntimeInformation.IsOSPlatform(OSPlatform.Android)) for compile-time choice,Medium,https://platform.uno/docs/articles/platform-specific-csharp.html
Minimize platform-specific code,Conditional,Minimize platform-specific code,Keep shared code maximized,Abstract platform differences behind interfaces,Duplicating logic across platform files,IDeviceService with per-platform implementation,Same 50 lines copy-pasted into iOS and Android partial classes,High,https://platform.uno/docs/articles/platform-specific-csharp.html
Use Frame-based navigation,Navigation,Use Frame-based navigation,Standard WinUI navigation pattern,Frame.Navigate with page types,Manual content swapping,"rootFrame.Navigate(typeof(DetailPage), parameter);",contentPresenter.Content = new DetailPage();,Medium,https://platform.uno/docs/articles/guides/native-frame-nav-tutorial.html
Use Uno.Extensions.Navigation,Navigation,Use Uno.Extensions.Navigation,Type-safe navigation with DI integration,Uno.Extensions navigation for complex apps,Manual Frame management in large apps,"navigator.NavigateViewModelAsync<DetailViewModel>(this, data: item);",Frame.Navigate with string parsing everywhere,Medium,https://platform.uno/docs/articles/external/uno.extensions/doc/Overview/Navigation/NavigationOverview.html
Handle platform back navigation,Navigation,Handle platform back navigation,SystemNavigationManager.BackRequested works on Android iOS and WASM but is unimplemented on WinAppSDK desktop where calling GetForCurrentView() throws at runtime,Subscribe to BackRequested only on platforms that support it or use Uno.Toolkit NavigationBar for cross-platform back UX,Calling SystemNavigationManager.GetForCurrentView() on WinUI 3 desktop without a guard,#if __ANDROID__ || __IOS__ || __WASM__ SystemNavigationManager.GetForCurrentView().BackRequested += OnBackRequested; #endif,SystemNavigationManager.GetForCurrentView().BackRequested += OnBackRequested; with no platform guard — crashes on Windows desktop,High,https://platform.uno/docs/articles/guides/native-frame-nav-tutorial.html
Use deep linking,Navigation,Use deep linking,Support URI activation across platforms,Handle protocol activation and URI routing,Single entry point ignoring activation,Route URIs to specific pages on activation,Ignoring OnLaunched activation args,Medium,https://platform.uno/docs/articles/features/protocol-activation.html
Understand Skia vs native rendering,Renderers,Understand Skia vs native rendering,Uno offers both rendering approaches,Skia for pixel-perfect cross-platform consistency,Assuming native rendering on all platforms,<TargetFrameworks>net10.0-desktop;net10.0-browserwasm</TargetFrameworks> uses unified Skia Desktop shell,Expecting platform-native controls on Skia targets,High,https://platform.uno/docs/articles/features/using-skia-desktop.html
Use unified net10.0-desktop target,Renderers,Use unified net10.0-desktop target,Uno 5.2+ ships a single Skia Desktop shell that auto-selects X11 Win32 or AppKit per OS — Skia.Gtk Skia.Linux.Framebuffer and Skia.WPF heads are deprecated,net10.0-desktop TFM with UnoPlatformHostBuilder for cross-platform desktop,Targeting the legacy Skia.Gtk or Skia.Linux.Framebuffer heads in new projects,<TargetFrameworks>net10.0-desktop</TargetFrameworks> in the Uno.Sdk single project,Per-OS Skia.Gtk Skia.MacOS Skia.Linux.Framebuffer head projects,Medium,https://platform.uno/docs/articles/features/using-skia-desktop.html
Test rendering on each target,Renderers,Test rendering on each target,Visual differences exist between renderers,Visual testing on each active target platform,Testing only on Windows assuming others match,Screenshot tests on iOS Android WASM and Desktop,Testing only on Windows Desktop,High,https://platform.uno/docs/articles/external/uno.uitest/doc/using-uno-uitest.html
Use platform-native features when needed,Renderers,Use platform-native features when needed,Access native APIs through Uno abstractions,Native platform APIs via platform-specific code,Avoiding native features for purity,#if __IOS__ UIKit API call #endif for camera access,Pure shared code that avoids using the camera,Medium,https://platform.uno/docs/articles/platform-specific-csharp.html
Optimize WASM bundle size,Performance,Optimize WASM bundle size,WebAssembly downloads can be large,IL linker and AOT for smaller WASM bundles,Default settings for production WASM,<WasmShellILLinkerEnabled>true</WasmShellILLinkerEnabled>,Publishing WASM without linker,High,https://platform.uno/docs/articles/features/using-il-linker-webassembly.html
Use x:Load for deferred XAML,Performance,Use x:Load for deferred XAML,Defer element creation until needed,x:Load=False for hidden panels and tabs,Loading all UI elements upfront,"<StackPanel x:Load=""{x:Bind ShowAdvanced}"">",Always-loaded Collapsed panels,Medium,https://platform.uno/docs/articles/features/windows-ui-xaml-xbind.html
Use x:Bind for compiled bindings,Data Binding,Use x:Bind for compiled bindings,Compiled bindings eliminate runtime reflection — Uno supports x:Bind across iOS Android WASM Skia and Windows targets that compile XAML so prefer it over {Binding} for static well-typed bindings,x:Bind for property and event bindings; reserve {Binding} for runtime-typed DataContext scenarios,{Binding} everywhere when x:Bind would compile,"<TextBlock Text=""{x:Bind ViewModel.Title, Mode=OneWay}""/>","<TextBlock Text=""{Binding Title}""/> for a statically known property",High,https://platform.uno/docs/articles/features/windows-ui-xaml-xbind.html
Profile per platform,Performance,Profile per platform,Performance characteristics vary by target,Platform-specific profiling tools,Assuming desktop perf equals mobile,Instruments on iOS and Android Profiler on Android,Profiling only on Windows,Medium,https://platform.uno/docs/articles/guides/profiling-applications.html
Use WinUI theme resources,Styling,Use WinUI theme resources,Consistent theming across platforms,ThemeResource for adaptive colors,Hardcoded colors per platform,"Background=""{ThemeResource ApplicationPageBackgroundThemeBrush}""","Background=""#FFFFFF""",High,https://platform.uno/docs/articles/features/working-with-themes.html
Support light and dark themes,Styling,Support light and dark themes,Application.RequestedTheme accepts only ApplicationTheme.Light/Dark — to follow the system theme leave it unset entirely. ElementTheme.Default exists only on FrameworkElement.RequestedTheme not on Application,Omit Application.RequestedTheme so the OS theme wins; use RequestedTheme=Default on FrameworkElement to inherit from parent,"Setting Application.RequestedTheme=""""Default"""" — not a valid ApplicationTheme value and throws at parse time","<Application></Application> with RequestedTheme unset; <Grid RequestedTheme=""Default"">...</Grid> on a FrameworkElement","<Application RequestedTheme=""Default""> // not a valid ApplicationTheme",Medium,https://platform.uno/docs/articles/features/working-with-themes.html
Use Lightweight Styling,Styling,Use Lightweight Styling,Override control sub-properties via resources,Lightweight styling keys for minor tweaks,Full ControlTemplate for small changes,"<Button><Button.Resources><StaticResource x:Key=""ButtonBackground"" ResourceKey=""AccentBrush""/></Button.Resources></Button>",Copying entire ControlTemplate to change one color,Medium,https://platform.uno/docs/articles/external/uno.themes/doc/lightweight-styling.html
Test themes on each platform,Styling,Test themes on each platform,Theme rendering differs across platforms,Visual theme testing on all targets,Assuming themes look identical everywhere,Screenshot comparison across platforms for themed controls,Theming only tested on Windows,Low,https://platform.uno/docs/articles/features/working-with-themes.html
Use MVVM pattern,Architecture,Use MVVM pattern,Separate view and logic,CommunityToolkit.Mvvm or Prism for MVVM,Code-behind for business logic,[ObservableProperty] public partial string Title { get; set; } [RelayCommand] private void Save() { },MainPage.xaml.cs with all logic,High,https://learn.microsoft.com/en-us/dotnet/communitytoolkit/mvvm/
Use Uno.Extensions,Architecture,Use Uno.Extensions,Official extension libraries for common patterns,Uno.Extensions for DI navigation configuration,Building infrastructure from scratch,Host.CreateDefaultBuilder().UseNavigation().UseConfiguration(),Manual DI and navigation setup,Medium,https://platform.uno/docs/articles/external/uno.extensions/doc/ExtensionsOverview.html
Use dependency injection,Architecture,Use dependency injection,Register services for testability,Microsoft.Extensions.DI through Uno.Extensions,Static service locators and singletons,"services.AddSingleton<IApiService, ApiService>();",ApiService.Instance or new ApiService() in ViewModels,Medium,https://platform.uno/docs/articles/external/uno.extensions/doc/Learn/DependencyInjection/DependencyInjectionOverview.html
Share code via class libraries,Architecture,Share code via class libraries,Maximize code reuse across targets,Business logic in .NET Standard or shared library,Business logic in platform head projects,MyApp.Core class library referenced by all heads,Business logic in MyApp.Wasm.csproj,Medium,https://platform.uno/docs/articles/cross-targeted-libraries.html
Use Uno.Resizetizer for assets,Architecture,Use Uno.Resizetizer for assets,Single source SVG to multi-platform assets,UnoImage for automatic asset generation from SVG,Manual asset export per resolution and platform,"<UnoImage Include=""Assets/icon.svg"" BaseSize=""24,24""/>",Manually exporting icon_1x.png icon_2x.png icon_3x.png per platform,Medium,https://platform.uno/docs/articles/external/uno.resizetizer/doc/using-uno-resizetizer.html
Set AutomationProperties,Accessibility,Set AutomationProperties,Enable screen readers across platforms,AutomationProperties.Name on interactive controls,Controls without accessible names,"<Button AutomationProperties.Name=""Submit form""><SymbolIcon Symbol=""Accept""/></Button>","<Button><SymbolIcon Symbol=""Accept""/></Button> without name",High,https://platform.uno/docs/articles/features/working-with-accessibility.html
Test accessibility per platform,Accessibility,Test accessibility per platform,Each platform has different assistive tech,Test with VoiceOver TalkBack and Narrator,Testing accessibility on one platform only,VoiceOver on iOS + TalkBack on Android + Narrator on Windows,Only testing with Narrator on Windows,High,https://platform.uno/docs/articles/features/working-with-accessibility.html
Support platform text scaling,Accessibility,Support platform text scaling,Respect user font size preferences,Dynamic font scaling for all text,Fixed font sizes ignoring accessibility,"FontSize=""{ThemeResource BodyTextBlockFontSize}""","FontSize=""14"" everywhere",Medium,https://platform.uno/docs/articles/features/working-with-accessibility.html
Unit test ViewModels,Testing,Unit test ViewModels,Test business logic independently,xUnit or MSTest on shared ViewModel code,UI testing only,[Fact] public void LoadData_SetsItems() { vm.Load(); Assert.NotEmpty(vm.Items); },Manual testing on each platform,Medium,https://platform.uno/docs/articles/external/uno.uitest/doc/using-uno-uitest.html
Use Uno.UITest for integration,Testing,Use Uno.UITest for integration,Cross-platform UI testing framework,Uno.UITest for automated UI tests across platforms,Manual regression testing,"app.WaitForElement(""SaveButton""); app.Tap(""SaveButton"");",Manual click-through on each platform,Medium,https://platform.uno/docs/articles/external/uno.uitest/doc/using-uno-uitest.html
Show an extended splash screen on WASM,WASM,Show an extended splash screen on WASM,WASM bundle download and runtime startup take several seconds on first load — render branded UI immediately so users do not see a blank page (AOT and trimming are covered separately),Render a splash overlay in wwwroot/index.html that hides on first XAML navigation,Letting the user wait on a blank white page while the runtime boots,"index.html: <div id=""uno-loading"">Loading…</div> hidden via JS interop after first Frame.Navigate",No splash markup in index.html — 5-second blank page on first visit,Medium,https://platform.uno/docs/articles/external/uno.wasm.bootstrap/doc/runtime-execution-modes.html
Use AOT compilation for performance,WASM,Use AOT compilation for performance,Ahead-of-time compilation improves runtime speed,AOT for production WASM builds,Interpreter mode in production,<WasmShellMonoRuntimeExecutionMode>InterpreterAndAOT</WasmShellMonoRuntimeExecutionMode>,Default interpreter mode in production deployment,Medium,https://platform.uno/docs/articles/external/uno.wasm.bootstrap/doc/runtime-execution-modes.html
Handle browser limitations,WASM,Handle browser limitations,WASM runs in browser sandbox,Feature detection for browser APIs,Assuming desktop capabilities in browser,"[JSImport(""globalThis.hasApi"")] static partial bool HasApi(); #if __WASM__ if (HasApi()) { ... } #endif","#if __WASM__ StorageFile.GetFileFromPathAsync(""C:/data"") #endif",Medium,https://platform.uno/docs/articles/platform-specific-csharp.html
Use NavigationView for app shell,Controls,Use NavigationView for app shell,WinUI NavigationView for consistent navigation across platforms,NavigationView with MenuItems for app navigation,Custom hamburger menu implementation,"<NavigationView><NavigationView.MenuItems><NavigationViewItem Content=""Home"" Icon=""Home""/></NavigationView.MenuItems></NavigationView>",Custom SplitView with manual toggle button,High,https://learn.microsoft.com/en-us/windows/apps/develop/ui/controls/navigationview
Use ContentDialog for modal interactions,Controls,Use ContentDialog for modal interactions,Cross-platform modal dialogs using WinUI API,ContentDialog for confirmations and input,Custom overlay Panel as dialog,"<ContentDialog Title=""Confirm"" PrimaryButtonText=""OK"" CloseButtonText=""Cancel""/>",Grid overlay with manual focus trapping,Medium,https://learn.microsoft.com/en-us/windows/apps/develop/ui/controls/dialogs-and-flyouts/dialogs
