id,category,title,description,priority,do_dont,platform,code_good,code_bad
navigation-1,Navigation,Smooth Scroll,Anchor links should scroll smoothly to target section,High,do:Use scroll-behavior: smooth on html element dont:Jump directly without transition,Web,html { scroll-behavior: smooth; },<a href='#section'> without CSS
navigation-2,Navigation,Sticky Navigation,Fixed nav should not obscure content,Medium,do:Add padding-top to body equal to nav height dont:Let nav overlap first section content,Web,pt-20 (if nav is h-20),No padding compensation
navigation-3,Navigation,Active State,Current page/section should be visually indicated,Medium,do:Highlight active nav item with color/underline dont:No visual feedback on current location,All,text-primary border-b-2,All links same style
navigation-4,Navigation,Back Button,Users expect back to work predictably,High,do:Preserve navigation history properly dont:Break browser/app back button behavior,Mobile,history.pushState(),location.replace()
navigation-5,Navigation,Deep Linking,URLs should reflect current state for sharing,Medium,do:Update URL on state/view changes dont:Static URLs for dynamic content,All,Use query params or hash,Single URL for all states
navigation-6,Navigation,Breadcrumbs,Show user location in site hierarchy,Low,do:Use for sites with 3+ levels of depth dont:Use for flat single-level sites,Web,Home > Category > Product,Only on deep nested pages
animation-7,Animation,Excessive Motion,Too many animations cause distraction and motion sickness,High,do:Animate 1-2 key elements per view maximum dont:Animate everything that moves,All,Single hero animation,animate-bounce on 5+ elements
animation-8,Animation,Duration Timing,Animations should feel responsive not sluggish,Medium,do:Use 150-300ms for micro-interactions dont:Use animations longer than 500ms for UI,All,transition-all duration-200,duration-1000
animation-9,Animation,Reduced Motion,Respect user's motion preferences,High,do:Check prefers-reduced-motion media query dont:Ignore accessibility motion settings,All,@media (prefers-reduced-motion: reduce),No motion query check
animation-10,Animation,Loading States,Show feedback during async operations,High,do:Use skeleton screens or spinners dont:Leave UI frozen with no feedback,All,animate-pulse skeleton,Blank screen while loading
animation-11,Animation,Hover vs Tap,Hover effects don't work on touch devices,High,do:Use click/tap for primary interactions dont:Rely only on hover for important actions,All,onClick handler,onMouseEnter only
animation-12,Animation,Continuous Animation,Infinite animations are distracting,Medium,do:Use for loading indicators only dont:Use for decorative elements,All,animate-spin on loader,animate-bounce on icons
animation-13,Animation,Transform Performance,Some CSS properties trigger expensive repaints,Medium,do:Use transform and opacity for animations dont:Animate width/height/top/left properties,Web,transform: translateY(),top: 10px animation
animation-14,Animation,Easing Functions,Linear motion feels robotic,Low,do:Use ease-out for entering ease-in for exiting dont:Use linear for UI transitions,All,ease-out,linear
layout-15,Layout,Z-Index Management,Stacking context conflicts cause hidden elements,High,do:Define z-index scale system (10 20 30 50) dont:Use arbitrary large z-index values,Web,z-10 z-20 z-50,z-[9999]
layout-16,Layout,Overflow Hidden,Hidden overflow can clip important content,Medium,do:Test all content fits within containers dont:Blindly apply overflow-hidden,Web,overflow-auto with scroll,overflow-hidden truncating content
layout-17,Layout,Fixed Positioning,Fixed elements can overlap or be inaccessible,Medium,do:Account for safe areas and other fixed elements dont:Stack multiple fixed elements carelessly,Web,Fixed nav + fixed bottom with gap,Multiple overlapping fixed elements
layout-18,Layout,Stacking Context,New stacking contexts reset z-index,Medium,do:Understand what creates new stacking context dont:Expect z-index to work across contexts,Web,Parent with z-index isolates children,z-index: 9999 not working
layout-19,Layout,Content Jumping,Layout shift when content loads is jarring,High,do:Reserve space for async content dont:Let images/content push layout around,Web,aspect-ratio or fixed height,No dimensions on images
layout-20,Layout,Viewport Units,100vh can be problematic on mobile browsers,Medium,do:Use dvh or account for mobile browser chrome dont:Use 100vh for full-screen mobile layouts,Web,min-h-dvh or min-h-screen,h-screen on mobile
layout-21,Layout,Container Width,Content too wide is hard to read,Medium,do:Limit max-width for text content (65-75ch) dont:Let text span full viewport width,Web,max-w-prose or max-w-3xl,Full width paragraphs
touch-22,Touch,Touch Target Size,Small buttons are hard to tap accurately,High,do:Minimum 44x44px touch targets dont:Tiny clickable areas,Mobile,min-h-[44px] min-w-[44px],w-6 h-6 buttons
touch-23,Touch,Touch Spacing,Adjacent touch targets need adequate spacing,Medium,do:Minimum 8px gap between touch targets dont:Tightly packed clickable elements,Mobile,gap-2 between buttons,gap-0 or gap-1
touch-24,Touch,Gesture Conflicts,Custom gestures can conflict with system,Medium,do:Avoid horizontal swipe on main content dont:Override system gestures,Mobile,Vertical scroll primary,Horizontal swipe carousel only
touch-25,Touch,Tap Delay,300ms tap delay feels laggy,Medium,do:Use touch-action CSS or fastclick dont:Default mobile tap handling,Mobile,touch-action: manipulation,No touch optimization
touch-26,Touch,Pull to Refresh,Accidental refresh is frustrating,Low,do:Disable where not needed dont:Enable by default everywhere,Mobile,overscroll-behavior: contain,Default overscroll
touch-27,Touch,Haptic Feedback,Tactile feedback improves interaction feel,Low,do:Use for confirmations and important actions dont:Overuse vibration feedback,Mobile,navigator.vibrate(10),Vibrate on every tap
interaction-28,Interaction,Focus States,Keyboard users need visible focus indicators,High,do:Use visible focus rings on interactive elements dont:Remove focus outline without replacement,All,focus:ring-2 focus:ring-blue-500,outline-none without alternative
interaction-29,Interaction,Hover States,Visual feedback on interactive elements,Medium,do:Change cursor and add subtle visual change dont:No hover feedback on clickable elements,Web,hover:bg-gray-100 cursor-pointer,No hover style
interaction-30,Interaction,Active States,Show immediate feedback on press/click,Medium,do:Add pressed/active state visual change dont:No feedback during interaction,All,active:scale-95,No active state
interaction-31,Interaction,Disabled States,Clearly indicate non-interactive elements,Medium,do:Reduce opacity and change cursor dont:Confuse disabled with normal state,All,opacity-50 cursor-not-allowed,Same style as enabled
interaction-32,Interaction,Loading Buttons,Prevent double submission during async actions,High,do:Disable button and show loading state dont:Allow multiple clicks during processing,All,disabled={loading} spinner,Button clickable while loading
interaction-33,Interaction,Error Feedback,Users need to know when something fails,High,do:Show clear error messages near problem dont:Silent failures with no feedback,All,Red border + error message,No indication of error
interaction-34,Interaction,Success Feedback,Confirm successful actions to users,Medium,do:Show success message or visual change dont:No confirmation of completed action,All,Toast notification or checkmark,Action completes silently
interaction-35,Interaction,Confirmation Dialogs,Prevent accidental destructive actions,High,do:Confirm before delete/irreversible actions dont:Delete without confirmation,All,Are you sure modal,Direct delete on click
accessibility-36,Accessibility,Color Contrast,Text must be readable against background,High,do:Minimum 4.5:1 ratio for normal text dont:Low contrast text,All,#333 on white (7:1),#999 on white (2.8:1)
accessibility-37,Accessibility,Color Only,Don't convey information by color alone,High,do:Use icons/text in addition to color dont:Red/green only for error/success,All,Red text + error icon,Red border only for error
accessibility-38,Accessibility,Alt Text,Images need text alternatives,High,do:Descriptive alt text for meaningful images dont:Empty or missing alt attributes,All,alt='Dog playing in park',alt='' for content images
accessibility-39,Accessibility,Heading Hierarchy,Screen readers use headings for navigation,Medium,do:Use sequential heading levels h1-h6 dont:Skip heading levels or misuse for styling,Web,h1 then h2 then h3,h1 then h4
accessibility-40,Accessibility,ARIA Labels,Interactive elements need accessible names,High,do:Add aria-label for icon-only buttons dont:Icon buttons without labels,All,aria-label='Close menu',<button><Icon/></button>
accessibility-41,Accessibility,Keyboard Navigation,All functionality accessible via keyboard,High,do:Tab order matches visual order dont:Keyboard traps or illogical tab order,Web,tabIndex for custom order,Unreachable elements
accessibility-42,Accessibility,Screen Reader,Content should make sense when read aloud,Medium,do:Use semantic HTML and ARIA properly dont:Div soup with no semantics,All,<nav> <main> <article>,<div> for everything
accessibility-43,Accessibility,Form Labels,Inputs must have associated labels,High,do:Use label with for attribute or wrap input dont:Placeholder-only inputs,All,<label for='email'>,placeholder='Email' only
accessibility-44,Accessibility,Error Messages,Error messages must be announced,High,do:Use aria-live or role=alert for errors dont:Visual-only error indication,All,role='alert',Red border only
accessibility-45,Accessibility,Skip Links,Allow keyboard users to skip navigation,Medium,do:Provide skip to main content link dont:No skip link on nav-heavy pages,Web,Skip to main content link,100 tabs to reach content
performance-46,Performance,Image Optimization,Large images slow page load,High,do:Use appropriate size and format (WebP) dont:Unoptimized full-size images,All,srcset with multiple sizes,4000px image for 400px display
performance-47,Performance,Lazy Loading,Load content as needed,Medium,do:Lazy load below-fold images and content dont:Load everything upfront,All,loading='lazy',All images eager load
performance-48,Performance,Code Splitting,Large bundles slow initial load,Medium,do:Split code by route/feature dont:Single large bundle,Web,dynamic import(),All code in main bundle
performance-49,Performance,Caching,Repeat visits should be fast,Medium,do:Set appropriate cache headers dont:No caching strategy,Web,Cache-Control headers,Every request hits server
performance-50,Performance,Font Loading,Web fonts can block rendering,Medium,do:Use font-display swap or optional dont:Invisible text during font load,Web,font-display: swap,FOIT (Flash of Invisible Text)
performance-51,Performance,Third Party Scripts,External scripts can block rendering,Medium,do:Load non-critical scripts async/defer dont:Synchronous third-party scripts,Web,async or defer attribute,<script src='...'> in head
