name,description,best_for,data_requirements,js_library,keywords,secondary_options,when_not_to_use,color_guidance,accessibility_grade,accessibility_notes,a11y_fallback,interactive_level
Line Chart,Data has a time axis; user needs to observe rise/fall trends or rate of change over a continuous period,Trend Over Time,<1000 pts: SVG; ≥1000 pts: Canvas + downsampling; >10000: aggregate to intervals,"Chart.js, Recharts, ApexCharts","trend, time-series, line, growth, timeline, progress","Area Chart, Smooth Area",Fewer than 4 data points (use stat card); more than 6 series (visual noise); no time dimension exists,Primary: #0080FF. Multiple series: distinct colors + distinct line styles. Fill: 20% opacity,AA,Differentiate series by line style (solid/dashed/dotted) not color alone. Add pattern overlays for colorblind users.,Dashed/dotted lines per series; togglable data table with timestamps and values,Hover + Zoom
Bar Chart (Horizontal or Vertical),Comparing discrete categories by magnitude; ranking or ordering is the core insight; categories ≤ 15,Compare Categories,<20 categories: vertical bar; 20–50: horizontal bar; >50: paginated table,"Chart.js, Recharts, D3.js","compare, categories, bar, comparison, ranking","Column Chart, Grouped Bar",Categories > 15 (use table or search); data has time dimension (use line); showing proportions (use waffle/stacked),Each bar: distinct color. Grouped: same hue family. Always sort descending by value,AAA,Value labels on each bar by default. Sort control for user reordering.,Value labels always visible; provide CSV export,Hover + Sort
Pie Chart or Donut,≤5 categories; one dominant segment vs rest; emphasis on visual proportion over exact values,Part-to-Whole,Max 6 slices; beyond that switch to stacked bar 100%,"Chart.js, Recharts, D3.js","part-to-whole, pie, donut, percentage, proportion, share","Stacked Bar, Waffle Chart",Categories > 5; slice differences < 5% (visually indistinguishable); user needs precise values; accessibility-first context,5–6 max colors. Contrasting palette. Largest slice at 12 o'clock. Always label slices with %,C,Pie charts fail WCAG for colorblind users. Slices rely on color alone. Avoid as primary chart in a11y contexts.,Must provide stacked bar alternative + percentage data table as mandatory fallback,Hover + Drill
Scatter Plot or Bubble Chart,Exploring relationship between two continuous variables; identifying clusters or outliers in a dataset,Correlation / Distribution,<500 pts: SVG; 500–5000: Canvas at 0.6–0.8 opacity; >5000: hexbin or aggregate first,"D3.js, Plotly, Recharts","correlation, distribution, scatter, relationship, pattern, cluster","Heat Map, Matrix",Variables are categorical (use grouped bar); fewer than 20 points (patterns aren't meaningful); mobile-primary context,Color axis: gradient (blue → red). Bubble size: relative to 3rd variable. Opacity: 0.6–0.8 to show density,B,Provide data table alternative. Combine color + shape distinction for colorblind users.,Data table with correlation coefficient annotation; shape markers (circle/square/triangle) per group,Hover + Brush
Heat Map or Choropleth,"Showing intensity/density across a 2D grid; time-based patterns (e.g., activity by hour × day)",Heatmap / Intensity,"Up to 10,000 cells efficiently; beyond that aggregate; calendar heatmap: 365 cells max per SVG","D3.js, Plotly, ApexCharts","heatmap, heat-map, intensity, density, matrix, calendar","Grid Heat Map, Bubble Heat",Fewer than 20 cells (use bar); user needs to read exact values; colorblind users without pattern fallback,Gradient: Cool (blue) to Hot (red). Divergent scale for ±data. Always include numeric color legend,B,Pattern overlay for colorblind users. Numerical value on hover. Legend must include scale ticks.,Numerical overlay on hover; downloadable grid table with row/column labels,Hover + Zoom
Choropleth Map or Bubble Map,Data has a regional/location dimension; spatial distribution is the core insight for the user,Geographic Data,<1000 regions: SVG; ≥1000: Canvas/WebGL (Deck.gl); global maps: tile-based rendering,"D3.js, Mapbox, Leaflet","geographic, map, location, region, geo, spatial, choropleth",Geographic Heat Map,Regions have very different sizes making visual comparison misleading (use bar); mobile-primary context,Single color gradient per region group. Categorized colors for discrete types. Legend with clear scale breaks,B,Include text labels for major regions. Provide keyboard navigation between regions.,Region text labels; sortable data table by region name and value; keyboard-navigable regions,Pan + Zoom + Drill
Funnel Chart or Sankey,Sequential multi-stage process; showing conversion or drop-off rates between defined stages,Funnel / Flow,3–8 stages optimal; beyond 8 stages group minor steps into 'Other',"D3.js, Recharts, Custom SVG","funnel, flow, conversion, drop-off, pipeline, stages",Waterfall (for flows),Stages aren't sequential; values don't decrease monotonically (use bar); fewer than 3 stages,Stages: single color gradient (start → end). Show conversion % between each stage. Highlight biggest drop,AA,Explicit conversion % as text per stage. Stage labels always visible. Linear list view as fallback.,Provide linear list view with stage name + count + drop-off %; keyboard traversal,Hover + Drill
Gauge Chart or Bullet Chart,Single KPI measured against a defined target or threshold; dashboard summary context,Performance vs Target,Single metric per gauge; for 3+ KPIs use bullet chart grid layout,"D3.js, ApexCharts, Custom SVG","performance, target, kpi, gauge, goal, threshold, progress","Dial, Thermometer",No target or benchmark exists; comparing multiple KPIs at once (use bullet chart grid),Performance: Red → Yellow → Green gradient. Target: marker line. Threshold zones clearly differentiated,AA,Always show numerical value + % of target as text beside chart. Never rely on color position alone.,Numerical value + % of target shown as visible text; ARIA live region for real-time updates,Hover
Line with Confidence Band,Historical data + model predictions; communicating uncertainty range to non-technical stakeholders,Time-Series Forecast,Keep historical window to 30–90 days for readability; forecast horizon ≤ 30% of visible x-axis range,"Chart.js, ApexCharts, Plotly","forecast, prediction, confidence, band, projection, estimate",Ribbon Chart,No historical baseline; prediction confidence is too low to be useful; audience is not data-literate,Actual: solid line #0080FF. Forecast: dashed #FF9500. Confidence band: 15% opacity fill same hue,AA,Toggle between actual-only and forecast views. Legend must distinguish lines beyond color (solid vs dashed).,Toggle actual/forecast independently; legend labels must include line-style description,Hover + Toggle
Line Chart with Highlights,Monitoring a time-series for outliers; alerting users to unexpected spikes or dips in operational data,Anomaly Detection,"Stream at ≤60fps with Canvas; batch: up to 10,000 pts; mark anomalies as a separate data layer","D3.js, Plotly, ApexCharts","anomaly, outlier, spike, alert, detection, monitoring, deviation",Scatter with Alert,Anomalies are predefined categories (use bar with highlight); real-time context without a pause control,Normal: #0080FF solid line. Anomaly marker: #FF0000 circle + filled. Alert band: #FFF3CD background zone,AA,Use shape marker (not color only) for anomaly points. Add text annotation per anomaly event.,Text alert annotation per anomaly; anomaly summary list panel alongside chart,Hover + Alert
